age,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,injury_claim,property_claim,vehicle_claim,fraud_reported
28,FEMALE,JD,machine-op-inspct,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,6460,6460,45220,N
44,FEMALE,JD,other-service,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,15180,15180,68310,Y
27,MALE,Masters,machine-op-inspct,Parked Car,0,Minor Damage,0,7,1180,590,4130,N
30,FEMALE,High School,armed-forces,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,6410,6410,51280,N
28,FEMALE,Associate,transport-moving,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,5040,10080,40320,Y
27,MALE,MD,sales,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,7350,14700,58800,Y
40,FEMALE,High School,transport-moving,Vehicle Theft,0,Trivial Damage,Police,5,680,680,6120,N
61,MALE,PhD,transport-moving,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,5960,5960,41720,Y
23,FEMALE,JD,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,5750,11500,46000,Y
57,FEMALE,High School,farming-fishing,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,9840,9840,39360,N
36,MALE,Associate,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,10100,5050,35350,N
43,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Side Collision,Major Damage,Police,13,6410,12820,38460,Y
40,FEMALE,MD,sales,Vehicle Theft,0,Trivial Damage,Police,2,660,660,4620,N
30,FEMALE,PhD,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,5310,5310,37170,Y
29,FEMALE,Masters,priv-house-serv,Parked Car,0,Trivial Damage,0,17,350,350,3150,N
31,MALE,PhD,other-service,Single Vehicle Collision,Front Collision,Major Damage,Police,3,5900,5900,47200,Y
43,MALE,College,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,7060,14120,49420,Y
40,MALE,Masters,armed-forces,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,5590,11180,44720,N
30,FEMALE,MD,protective-serv,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,5240,10480,41920,N
57,FEMALE,High School,craft-repair,Vehicle Theft,0,Trivial Damage,Police,9,1060,1060,4770,N
45,MALE,JD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,11840,5920,35520,Y
29,FEMALE,JD,handlers-cleaners,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,15660,7830,54810,N
37,MALE,Associate,protective-serv,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,4610,4610,32270,N
36,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,12540,6270,50160,N
55,MALE,College,handlers-cleaners,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,17060,8530,59710,N
40,FEMALE,Associate,other-service,Parked Car,0,Minor Damage,0,6,560,280,2240,N
47,MALE,MD,craft-repair,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,11040,11040,49680,Y
26,FEMALE,JD,armed-forces,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,11940,11940,35820,N
39,FEMALE,Masters,other-service,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,10820,10820,43280,N
43,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,10,4170,4170,29190,N
42,MALE,Associate,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,9,7120,7120,49840,N
41,MALE,PhD,prof-specialty,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,10980,5490,43920,Y
33,FEMALE,JD,armed-forces,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,5850,11700,46800,Y
38,FEMALE,College,other-service,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,14180,7090,49630,N
39,FEMALE,JD,craft-repair,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,7760,7760,31040,N
33,FEMALE,Associate,craft-repair,Vehicle Theft,0,Trivial Damage,Police,3,860,860,3010,Y
40,FEMALE,PhD,transport-moving,Vehicle Theft,0,Minor Damage,Police,14,1240,1240,4340,N
58,MALE,PhD,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,11980,5990,41930,Y
36,FEMALE,MD,priv-house-serv,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,13260,13260,53040,N
33,FEMALE,High School,adm-clerical,Single Vehicle Collision,Front Collision,Total Loss,Other,8,12780,6390,51120,N
31,MALE,JD,priv-house-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,5810,11620,46480,N
40,FEMALE,Associate,transport-moving,Vehicle Theft,0,Trivial Damage,0,6,640,640,5120,N
25,FEMALE,JD,handlers-cleaners,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,6,7420,7420,51940,Y
39,FEMALE,College,sales,Parked Car,0,Minor Damage,Police,8,1460,1460,5840,N
42,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,13,8560,17120,68480,N
40,MALE,College,protective-serv,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,5730,11460,34380,N
31,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,10540,10540,31620,Y
34,MALE,High School,sales,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,15540,15540,69930,N
37,MALE,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,5340,5340,42720,Y
31,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,12020,12020,48080,N
43,MALE,College,protective-serv,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,7710,15420,53970,N
39,FEMALE,College,handlers-cleaners,Parked Car,0,Trivial Damage,Police,3,600,0,2700,N
35,FEMALE,MD,adm-clerical,Parked Car,0,Minor Damage,0,7,1080,540,4320,N
27,MALE,High School,transport-moving,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,7080,21240,35400,N
43,FEMALE,Masters,farming-fishing,Vehicle Theft,0,Trivial Damage,Police,15,1280,640,5760,N
31,MALE,Associate,handlers-cleaners,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,14420,21630,57680,N
44,MALE,College,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,17460,17460,52380,N
40,MALE,JD,transport-moving,Parked Car,0,Trivial Damage,Police,5,1260,630,3780,N
47,MALE,High School,priv-house-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,15,13160,6580,46060,N
34,FEMALE,JD,handlers-cleaners,Single Vehicle Collision,Front Collision,Major Damage,Other,14,4080,4080,28560,Y
29,FEMALE,PhD,farming-fishing,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,4800,9600,38400,Y
37,FEMALE,Associate,protective-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,5910,5910,47280,Y
37,MALE,Associate,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,14080,7040,56320,N
36,MALE,Masters,armed-forces,Multi-vehicle Collision,Side Collision,Total Loss,Fire,20,4570,4570,36560,N
41,FEMALE,PhD,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,7340,14680,58720,Y
26,MALE,MD,sales,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,2850,5700,22800,Y
33,FEMALE,Associate,handlers-cleaners,Single Vehicle Collision,Side Collision,Total Loss,Other,0,3500,7000,24500,N
59,MALE,PhD,protective-serv,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,13600,6800,47600,N
30,FEMALE,Masters,machine-op-inspct,Multi-vehicle Collision,Side Collision,Minor Damage,Other,13,13000,13000,58500,N
42,FEMALE,MD,transport-moving,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,7550,15100,52850,N
46,MALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,15100,15100,60400,N
45,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,8,5360,10720,48240,N
33,FEMALE,High School,transport-moving,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1,6340,3170,22190,N
30,MALE,Associate,protective-serv,Single Vehicle Collision,Side Collision,Major Damage,Other,19,12380,12380,49520,Y
37,FEMALE,High School,sales,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,13420,6710,60390,N
30,MALE,JD,adm-clerical,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,6360,12720,44520,N
44,MALE,High School,handlers-cleaners,Single Vehicle Collision,Front Collision,Total Loss,Police,4,3280,3280,26240,N
50,FEMALE,Masters,priv-house-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Police,14,9820,4910,29460,N
26,MALE,College,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,10080,5040,35280,Y
55,MALE,JD,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,17680,8840,61880,N
49,FEMALE,High School,farming-fishing,Multi-vehicle Collision,Front Collision,Total Loss,Fire,21,12100,6050,48400,N
47,MALE,PhD,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,5980,11960,47840,N
40,MALE,MD,armed-forces,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,9420,4710,37680,Y
31,MALE,PhD,protective-serv,Single Vehicle Collision,Front Collision,Major Damage,Other,21,5060,10120,40480,Y
28,MALE,Masters,machine-op-inspct,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,9920,4960,29760,N
46,FEMALE,PhD,transport-moving,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,7060,14120,56480,Y
25,FEMALE,JD,tech-support,Parked Car,0,Trivial Damage,0,8,940,940,3760,N
26,FEMALE,MD,prof-specialty,Parked Car,0,Trivial Damage,0,4,580,580,2030,N
30,MALE,College,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,0,6680,46760,N
31,FEMALE,JD,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,7250,7250,50750,N
39,MALE,College,armed-forces,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,4920,4920,34440,N
37,MALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,7810,7810,54670,N
30,FEMALE,Associate,priv-house-serv,Single Vehicle Collision,Front Collision,Minor Damage,Other,20,8710,8710,69680,N
35,MALE,MD,priv-house-serv,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,4580,4580,41220,N
45,FEMALE,JD,sales,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,12960,6480,45360,Y
42,FEMALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,12800,12800,44800,N
26,MALE,College,armed-forces,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,0,10520,47340,Y
47,MALE,Masters,protective-serv,Vehicle Theft,0,Minor Damage,0,3,960,960,4320,N
38,FEMALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,16650,11100,38850,Y
28,MALE,PhD,transport-moving,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,11820,11820,47280,N
56,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,6580,6580,26320,N
43,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Front Collision,Total Loss,Other,12,10540,5270,47430,N
34,MALE,JD,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Other,21,12300,6150,49200,N
39,FEMALE,MD,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,14840,14840,44520,Y
43,FEMALE,JD,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,12980,12980,38940,N
44,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,7180,3590,25130,Y
26,FEMALE,High School,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,5220,10440,36540,N
57,MALE,Masters,adm-clerical,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,6500,13000,58500,N
27,FEMALE,High School,adm-clerical,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1,6720,6720,53760,N
43,FEMALE,MD,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,11500,5750,46000,N
37,FEMALE,MD,craft-repair,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,11460,5730,51570,N
28,MALE,College,other-service,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,10840,10840,43360,N
33,MALE,College,adm-clerical,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,22,20700,13800,48300,Y
44,MALE,PhD,priv-house-serv,Single Vehicle Collision,Side Collision,Total Loss,Other,12,6170,6170,49360,N
61,FEMALE,Associate,transport-moving,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3,15620,7810,54670,Y
24,FEMALE,College,priv-house-serv,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,9360,9360,46800,Y
30,MALE,MD,prof-specialty,Parked Car,0,Trivial Damage,0,8,450,450,3600,N
41,FEMALE,Associate,sales,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,0,6100,36600,Y
46,FEMALE,High School,adm-clerical,Parked Car,0,Minor Damage,Police,8,620,620,4340,Y
31,FEMALE,Masters,adm-clerical,Parked Car,0,Minor Damage,0,7,360,720,2520,Y
36,FEMALE,Masters,exec-managerial,Vehicle Theft,0,Trivial Damage,0,9,280,280,2240,N
47,FEMALE,Associate,adm-clerical,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,6000,6000,42000,N
19,FEMALE,JD,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,Police,5,4450,8900,35600,Y
47,MALE,PhD,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Other,15,15560,15560,46680,N
57,MALE,High School,protective-serv,Multi-vehicle Collision,Front Collision,Major Damage,Other,22,11680,5840,35040,N
41,FEMALE,PhD,farming-fishing,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,4010,8020,32080,N
30,FEMALE,PhD,sales,Single Vehicle Collision,Front Collision,Total Loss,Other,7,13520,6760,54080,N
31,FEMALE,JD,armed-forces,Parked Car,0,Minor Damage,0,2,680,680,4760,Y
53,MALE,College,transport-moving,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,5190,10380,46710,N
44,FEMALE,Masters,sales,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,4860,4860,17010,N
29,FEMALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9,6620,6620,52960,N
26,MALE,JD,other-service,Single Vehicle Collision,Side Collision,Total Loss,Fire,16,9100,4550,31850,N
41,MALE,JD,transport-moving,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,19,4420,4420,44200,N
32,MALE,College,other-service,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,10160,5080,35560,Y
41,FEMALE,Associate,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,Police,18,4420,4420,35360,N
34,FEMALE,PhD,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,Police,23,11440,5720,45760,N
29,MALE,PhD,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,15,5550,5550,38850,Y
46,MALE,JD,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,6270,6270,43890,Y
41,FEMALE,Masters,protective-serv,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,18220,18220,63770,N
30,MALE,High School,prof-specialty,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,12,5460,5460,38220,N
38,FEMALE,College,other-service,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,16710,5570,44560,N
21,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Front Collision,Total Loss,Other,21,6940,6940,48580,N
36,MALE,JD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Total Loss,Other,15,11420,11420,39970,N
33,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,21,6770,6770,40620,N
35,FEMALE,JD,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,9680,4840,33880,N
48,MALE,PhD,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,5720,5720,40040,N
36,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,5,5170,10340,36190,N
58,MALE,MD,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Other,15,10920,5460,49140,N
31,MALE,High School,farming-fishing,Multi-vehicle Collision,Rear Collision,Major Damage,Other,2,4770,9540,33390,Y
31,FEMALE,PhD,machine-op-inspct,Vehicle Theft,0,Minor Damage,0,3,580,580,4060,N
57,MALE,High School,protective-serv,Single Vehicle Collision,Side Collision,Major Damage,Other,19,6110,12220,54990,N
46,MALE,Masters,adm-clerical,Single Vehicle Collision,Front Collision,Minor Damage,Fire,17,14980,7490,52430,N
27,FEMALE,High School,prof-specialty,Vehicle Theft,0,Trivial Damage,Police,7,580,290,2320,N
33,MALE,MD,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,21,12820,6410,57690,N
53,FEMALE,Masters,priv-house-serv,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,7090,14180,56720,N
46,MALE,MD,transport-moving,Single Vehicle Collision,Front Collision,Total Loss,Fire,11,9180,9180,41310,N
33,FEMALE,College,craft-repair,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,23,8160,4080,32640,Y
51,MALE,Associate,sales,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,14,7530,15060,60240,N
60,FEMALE,College,armed-forces,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,7680,15360,61440,Y
30,FEMALE,College,transport-moving,Multi-vehicle Collision,Side Collision,Total Loss,Fire,6,15960,7980,55860,N
41,MALE,MD,adm-clerical,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,9640,9640,33740,N
45,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Side Collision,Total Loss,Police,5,2200,4400,17600,N
40,MALE,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,17,7860,7860,27510,N
45,FEMALE,College,exec-managerial,Vehicle Theft,0,Trivial Damage,0,3,290,580,2320,N
43,FEMALE,Associate,adm-clerical,Parked Car,0,Minor Damage,0,9,1300,650,3900,N
29,FEMALE,High School,machine-op-inspct,Parked Car,0,Trivial Damage,Police,6,620,1240,4960,N
44,FEMALE,College,farming-fishing,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,22,11580,11580,46320,N
29,MALE,Masters,prof-specialty,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,7880,15760,70920,N
39,MALE,Associate,armed-forces,Vehicle Theft,0,Minor Damage,0,4,780,780,6240,N
32,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Front Collision,Total Loss,Other,23,5570,11140,44560,N
49,FEMALE,Masters,transport-moving,Single Vehicle Collision,Rear Collision,Total Loss,Police,19,8930,8930,53580,N
37,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,11120,5560,38920,N
44,MALE,High School,priv-house-serv,Vehicle Theft,0,Trivial Damage,Police,6,1000,500,3500,N
33,FEMALE,JD,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Other,6,14740,14740,66330,N
41,FEMALE,College,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,6930,13860,48510,N
37,MALE,MD,prof-specialty,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,13520,20280,47320,N
21,MALE,High School,handlers-cleaners,Single Vehicle Collision,Front Collision,Major Damage,Other,21,14040,14040,63180,N
48,FEMALE,MD,other-service,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,6060,12120,42420,N
31,MALE,Masters,machine-op-inspct,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6,6480,12960,45360,Y
34,FEMALE,College,exec-managerial,Multi-vehicle Collision,Side Collision,Major Damage,Police,0,6080,12160,48640,Y
35,MALE,Masters,farming-fishing,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,5820,5820,46560,N
31,FEMALE,High School,priv-house-serv,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,6730,6730,47110,N
36,FEMALE,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,22,8710,8710,52260,Y
58,MALE,Masters,transport-moving,Single Vehicle Collision,Front Collision,Total Loss,Fire,2,5570,11140,38990,N
47,FEMALE,JD,transport-moving,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,16,5670,5670,51030,N
45,FEMALE,PhD,priv-house-serv,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,9880,0,44460,N
48,FEMALE,Masters,priv-house-serv,Single Vehicle Collision,Front Collision,Major Damage,Police,21,6130,6130,42910,Y
34,MALE,College,priv-house-serv,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,11700,5850,40950,N
32,MALE,Associate,priv-house-serv,Single Vehicle Collision,Rear Collision,Major Damage,Fire,12,6660,6660,46620,N
28,MALE,MD,machine-op-inspct,Single Vehicle Collision,Side Collision,Total Loss,Police,6,7340,7340,58720,N
23,MALE,JD,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,Fire,6,4650,4650,32550,N
44,FEMALE,PhD,priv-house-serv,Parked Car,0,Trivial Damage,Police,7,640,1280,4480,Y
40,FEMALE,PhD,other-service,Vehicle Theft,0,Trivial Damage,Police,3,580,290,2320,N
29,MALE,JD,handlers-cleaners,Parked Car,0,Trivial Damage,0,10,590,590,4720,N
31,MALE,Masters,protective-serv,Single Vehicle Collision,Rear Collision,Total Loss,Fire,14,6370,6370,44590,N
50,MALE,MD,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Other,17,13660,13660,54640,N
33,FEMALE,PhD,transport-moving,Single Vehicle Collision,Side Collision,Major Damage,Fire,16,6400,19200,44800,Y
34,FEMALE,JD,protective-serv,Parked Car,0,Minor Damage,0,3,580,580,2610,N
36,FEMALE,Associate,sales,Parked Car,0,Minor Damage,0,7,740,1480,5180,N
52,FEMALE,High School,farming-fishing,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,6090,6090,42630,Y
37,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,4940,9880,34580,N
53,MALE,Associate,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,12500,6250,50000,N
32,FEMALE,PhD,adm-clerical,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,12300,6150,43050,N
39,FEMALE,Masters,other-service,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,6990,13980,55920,N
32,FEMALE,PhD,other-service,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,6230,12460,37380,N
30,FEMALE,College,transport-moving,Single Vehicle Collision,Side Collision,Total Loss,Fire,3,14000,0,42000,N
33,FEMALE,College,priv-house-serv,Parked Car,0,Trivial Damage,0,3,780,390,3120,N
37,FEMALE,Associate,transport-moving,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,6750,6750,47250,N
30,FEMALE,Associate,machine-op-inspct,Single Vehicle Collision,Side Collision,Minor Damage,Other,23,4430,4430,39870,N
43,MALE,Associate,adm-clerical,Multi-vehicle Collision,Front Collision,Minor Damage,Police,9,17300,17300,60550,N
24,MALE,Masters,craft-repair,Vehicle Theft,0,Minor Damage,Police,20,680,680,6120,N
28,MALE,Masters,transport-moving,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,5,13300,6650,59850,Y
51,FEMALE,MD,priv-house-serv,Single Vehicle Collision,Side Collision,Total Loss,Other,15,8630,17260,77670,N
38,FEMALE,PhD,other-service,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,15900,7950,55650,N
44,FEMALE,High School,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Other,16,6930,13860,55440,Y
54,MALE,MD,protective-serv,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,0,9920,9920,39680,N
57,FEMALE,PhD,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Police,10,5970,5970,35820,Y
41,MALE,JD,prof-specialty,Multi-vehicle Collision,Side Collision,Total Loss,Police,14,15380,7690,61520,N
38,MALE,PhD,handlers-cleaners,Multi-vehicle Collision,Front Collision,Total Loss,Other,1,6850,6850,47950,N
33,FEMALE,Associate,handlers-cleaners,Single Vehicle Collision,Rear Collision,Major Damage,Police,16,8140,8140,65120,N
34,FEMALE,Masters,transport-moving,Multi-vehicle Collision,Side Collision,Major Damage,Fire,2,10620,5310,42480,N
56,FEMALE,College,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3510,3510,31590,N
37,FEMALE,High School,farming-fishing,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,9600,9600,38400,N
35,FEMALE,PhD,protective-serv,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,23,5910,11820,35460,N
57,FEMALE,JD,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,Other,10,5830,11660,40810,Y
38,MALE,MD,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,12,7180,0,57440,N
51,MALE,PhD,armed-forces,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,15,15080,15080,60320,N
49,FEMALE,PhD,farming-fishing,Vehicle Theft,0,Trivial Damage,0,3,1180,1180,4720,N
42,MALE,JD,exec-managerial,Parked Car,0,Minor Damage,Police,19,590,1180,4720,Y
36,FEMALE,Masters,other-service,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,5590,5590,44720,N
29,MALE,High School,adm-clerical,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,6380,6380,51040,Y
56,MALE,MD,farming-fishing,Single Vehicle Collision,Side Collision,Total Loss,Police,10,7270,7270,43620,Y
53,MALE,Masters,armed-forces,Vehicle Theft,0,Minor Damage,Police,6,630,1260,4410,Y
46,MALE,MD,sales,Single Vehicle Collision,Front Collision,Major Damage,Fire,18,19020,19020,66570,Y
44,MALE,College,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,20,12700,6350,50800,N
21,FEMALE,Masters,priv-house-serv,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,14,12580,6290,44030,N
30,MALE,JD,handlers-cleaners,Multi-vehicle Collision,Front Collision,Major Damage,Other,8,6630,6630,46410,Y
40,MALE,JD,armed-forces,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,17,16300,8150,57050,N
56,MALE,High School,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,9,15000,5000,30000,N
28,MALE,Associate,adm-clerical,Single Vehicle Collision,Front Collision,Total Loss,Other,0,8780,8780,30730,N
29,MALE,High School,other-service,Single Vehicle Collision,Rear Collision,Total Loss,Fire,2,5370,5370,48330,N
24,FEMALE,High School,armed-forces,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,12660,6330,44310,N
46,MALE,College,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Other,8,11960,11960,41860,N
29,MALE,JD,transport-moving,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,6,11600,11600,52200,Y
33,MALE,High School,armed-forces,Vehicle Theft,0,Minor Damage,0,3,250,250,1750,N
